,,,MIS  ,,BO/CO,,,
Symbol,BSE Symbol,Var+ ELM+Adhoc margin,MIS Margin(%),MIS Multiplier,BO/CO Margin(%),CO Upper Trigger,BO/CO Margin(%),BO/CO Multiplier
3MINDIA,523395,17.64,8.82,11.34,5.00,10.00,5.00,20.00
AARTIIND,524208,21.40,10.70,9.35,5.35,10.00,6.42,15.58
ABB,500002,17.37,8.69,11.51,5.00,10.00,5.00,20.00
ABBOTINDIA,500488,16.63,8.32,12.03,5.00,10.00,5.00,20.00
ABCAPITAL,540691,24.45,12.23,8.18,6.11,10.00,7.34,13.63
ABFRL,535755,20.36,10.18,9.82,5.09,10.00,6.11,16.37
ACC,500410,16.34,8.17,12.24,5.00,10.00,5.00,20.00
ADANIENT,512599,29.71,14.86,6.73,7.43,10.00,8.91,11.22
ADANIGAS,542066,27.52,13.76,7.27,6.88,10.00,8.26,12.11
ADANIPORTS,532921,19.53,9.77,10.24,5.00,10.00,5.00,20.00
AIAENG,532683,18.98,9.49,10.54,5.00,10.00,5.00,20.00
AJANTPHARM,532331,19.38,9.69,10.32,5.00,10.00,5.00,20.00
AKZOINDIA,500710,16.62,8.31,12.03,5.00,10.00,5.00,20.00
ALKEM,539523,16.27,8.14,12.29,5.00,10.00,5.00,20.00
AMARAJABAT,500008,18.79,9.40,10.64,5.00,10.00,5.00,20.00
AMBER,540902,25.15,12.58,7.95,6.29,10.00,7.55,13.25
AMBUJACEM,500425,18.34,9.17,10.91,5.00,10.00,5.00,20.00
AMRUTANJAN,590006,23.30,11.65,8.58,5.83,10.00,6.99,14.31
APLAPOLLO,533758,21.09,10.55,9.48,5.27,10.00,6.33,15.81
APOLLOHOSP,508869,23.42,11.71,8.54,5.86,10.00,7.03,14.23
APOLLOTYRE,500877,21.24,10.62,9.42,5.31,10.00,6.37,15.69
ARVSMART,539301,25.60,12.80,7.81,6.40,10.00,7.68,13.02
ASHOKA,533271,26.18,13.09,7.64,6.55,10.00,7.85,12.73
ASHOKLEY,500477,32.25,16.13,6.20,8.06,10.00,9.68,10.34
ASIANPAINT,500820,16.65,8.33,12.01,5.00,10.00,5.00,20.00
ASTERDM,540975,22.79,11.40,8.78,5.70,10.00,6.84,14.63
ASTRAL,532830,24.11,12.06,8.30,6.03,10.00,7.23,13.83
ATUL,500027,18.66,9.33,10.72,5.00,10.00,5.00,20.00
AUROPHARMA,524804,33.32,16.66,6.00,8.33,10.00,10.00,10.00
AUTOAXLES,505010,25.84,12.92,7.74,6.46,10.00,7.75,12.90
AVANTIFEED,512573,24.72,12.36,8.09,6.18,10.00,7.42,13.48
AXISBANK,532215,29.83,14.92,6.70,7.46,10.00,8.95,11.17
BAJAJ-AUTO,532977,17.05,8.53,11.73,5.00,10.00,5.00,20.00
BAJAJCON,533229,21.49,10.75,9.31,5.37,10.00,6.45,15.51
BAJAJELEC,500031,21.71,10.86,9.21,5.43,10.00,6.51,15.35
BAJAJFINSV,532978,28.75,14.38,6.96,7.19,10.00,8.63,11.59
BAJAJHLDNG,500490,21.63,10.82,9.25,5.41,10.00,6.49,15.41
BAJFINANCE,500034,26.59,13.30,7.52,6.65,10.00,7.98,12.54
BALKRISIND,502355,22.74,11.37,8.80,5.69,10.00,6.82,14.66
BALMLAWRIE,523319,18.01,9.01,11.10,5.00,10.00,5.00,20.00
BALRAMCHIN,500038,25.50,12.75,7.84,6.38,10.00,7.65,13.07
BANCOINDIA,500039,23.71,11.86,8.44,5.93,10.00,7.11,14.06
BANDHANBNK,541153,44.98,22.49,4.45,11.25,10.00,13.49,7.41
BANKBARODA,532134,42.69,21.35,4.68,10.67,10.00,12.81,7.81
BANKBEES,Not listed in BSE,18.05,9.03,11.08,5.00,10.00,5.00,20.00
BANKINDIA,532149,22.63,11.32,8.84,5.66,10.00,6.79,14.73
BATAINDIA,500043,18.26,9.13,10.95,5.00,10.00,5.00,20.00
BAYERCROP,506285,19.28,9.64,10.37,5.00,10.00,5.00,20.00
BBTC,501425,24.19,12.10,8.27,6.05,10.00,7.26,13.78
BDL,541143,25.27,12.64,7.91,6.32,10.00,7.58,13.19
BEL,500049,22.18,11.09,9.02,5.55,10.00,6.65,15.03
BEML,500048,23.43,11.72,8.54,5.86,10.00,7.03,14.23
BERGEPAINT,509480,16.83,8.42,11.88,5.00,10.00,5.00,20.00
BHARATFORG,500493,24.22,12.11,8.26,6.06,10.00,7.27,13.76
BHARTIARTL,532454,19.84,9.92,10.08,5.00,10.00,5.00,20.00
BHEL,500103,43.48,21.74,4.60,10.87,10.00,13.04,7.67
BIOCON,532523,25.02,12.51,7.99,6.26,10.00,7.51,13.32
BOMDYEING,500020,27.03,13.52,7.40,6.76,10.00,8.11,12.33
BOSCHLTD,500530,22.38,11.19,8.94,5.60,10.00,6.71,14.89
BPCL,500547,44.02,22.01,4.54,11.01,10.00,13.21,7.57
BRITANNIA,500825,17.95,8.98,11.14,5.00,10.00,5.00,20.00
BSE,Not listed in BSE,19.24,9.62,10.40,5.00,10.00,5.00,20.00
CADILAHC,532321,18.17,9.09,11.01,5.00,10.00,5.00,20.00
CANBK,532483,48.41,24.21,4.13,12.10,10.00,14.52,6.89
CANFINHOME,511196,21.52,10.76,9.29,5.38,10.00,6.46,15.49
CARBORUNIV,513375,19.44,9.72,10.29,5.00,10.00,5.00,20.00
CASTROLIND,500870,18.80,9.40,10.64,5.00,10.00,5.00,20.00
CCL,519600,18.65,9.33,10.72,5.00,10.00,5.00,20.00
CDSL,Not listed in BSE,21.56,10.78,9.28,5.39,10.00,6.47,15.46
CEATLTD,500878,18.10,9.05,11.05,5.00,10.00,5.00,20.00
CENTURYPLY,532548,21.85,10.93,9.15,5.46,10.00,6.56,15.26
CENTURYTEX,500040,25.38,12.69,7.88,6.35,10.00,7.61,13.13
CERA,532443,18.50,9.25,10.81,5.00,10.00,5.00,20.00
CESC,500084,17.94,8.97,11.15,5.00,10.00,5.00,20.00
CHAMBLFERT,500085,19.54,9.77,10.24,5.00,10.00,5.00,20.00
CHENNPETRO,500110,24.67,12.34,8.11,6.17,10.00,7.40,13.51
CHOLAFIN,511243,34.51,17.26,5.80,8.63,10.00,10.35,9.66
CIPLA,500087,17.87,8.94,11.19,5.00,10.00,5.00,20.00
COALINDIA,533278,17.19,8.60,11.63,5.00,10.00,5.00,20.00
COCHINSHIP,540678,19.77,9.89,10.12,5.00,10.00,5.00,20.00
COFORGE,532541,46.90,23.45,4.26,11.73,10.00,14.07,7.11
COLPAL,500830,16.08,8.04,12.44,5.00,10.00,5.00,20.00
CONCOR,531344,33.66,16.83,5.94,8.42,10.00,10.10,9.90
COROMANDEL,506395,18.24,9.12,10.96,5.00,10.00,5.00,20.00
COSMOFILMS,508814,23.58,11.79,8.48,5.90,10.00,7.07,14.14
CRISIL,500092,16.70,8.35,11.98,5.00,10.00,5.00,20.00
CROMPTON,539876,16.98,8.49,11.78,5.00,10.00,5.00,20.00
CSBBANK,542867,21.42,10.71,9.34,5.36,10.00,6.43,15.56
CUB,532210,22.32,11.16,8.96,5.58,10.00,6.70,14.93
CUMMINSIND,500480,20.73,10.37,9.65,5.18,10.00,6.22,16.08
CYIENT,532175,19.99,10.00,10.01,5.00,10.00,5.00,20.00
DABUR,500096,13.52,6.76,14.79,5.00,10.00,5.00,20.00
DALBHARAT,542216,21.30,10.65,9.39,5.33,10.00,6.39,15.65
DBCORP,533151,17.71,8.86,11.29,5.00,10.00,5.00,20.00
DCBBANK,532772,22.25,11.13,8.99,5.56,10.00,6.68,14.98
DCMSHRIRAM,523367,22.34,11.17,8.95,5.59,10.00,6.70,14.92
DEEPAKFERT,500645,25.78,12.89,7.76,6.45,10.00,7.73,12.93
DEEPAKNTR,506401,25.19,12.60,7.94,6.30,10.00,7.56,13.23
DIVISLAB,532488,17.45,8.73,11.46,5.00,10.00,5.00,20.00
DLF,532868,25.08,12.54,7.97,6.27,10.00,7.52,13.29
DMART,540376,18.11,9.06,11.04,5.00,10.00,5.00,20.00
DREDGECORP,523618,24.70,12.35,8.10,6.18,10.00,7.41,13.50
DRREDDY,500124,15.87,7.94,12.60,5.00,10.00,5.00,20.00
EICHERMOT,505200,20.46,10.23,9.78,5.12,10.00,6.14,16.29
EIDPARRY,500125,24.43,12.22,8.19,6.11,10.00,7.33,13.64
ENDURANCE,540153,21.53,10.77,9.29,5.38,10.00,6.46,15.48
